symbol,rmse,mae,model_path,report_path,epochs_ran,n_rows,window,start
EREGL.IS,2.2309198878017136,1.9185045583506832,models/EREGL_IS_lstm.keras,data/EREGL_IS_pred_report.csv,15,2008,60,2018-01-01
SISE.IS,2.835982419446276,2.4513301122223528,models/SISE_IS_lstm.keras,data/SISE_IS_pred_report.csv,15,2007,60,2018-01-01
FROTO.IS,5.986644865064158,4.526286329342123,models/FROTO_IS_lstm.keras,data/FROTO_IS_pred_report.csv,6,2008,60,2018-01-01
AKBNK.IS,12.607149105991743,11.877210801647555,models/AKBNK_IS_lstm.keras,data/AKBNK_IS_pred_report.csv,9,2007,60,2018-01-01
TUPRS.IS,18.7954783423614,15.469747548928359,models/TUPRS_IS_lstm.keras,data/TUPRS_IS_pred_report.csv,8,2007,60,2018-01-01
KCHOL.IS,22.139754186176962,18.397450735142503,models/KCHOL_IS_lstm.keras,data/KCHOL_IS_pred_report.csv,6,2007,60,2018-01-01
THYAO.IS,26.59706425365345,23.64279899709036,models/THYAO_IS_lstm.keras,data/THYAO_IS_pred_report.csv,7,2007,60,2018-01-01
GARAN.IS,43.691293483211176,42.764554759274475,models/GARAN_IS_lstm.keras,data/GARAN_IS_pred_report.csv,15,2007,60,2018-01-01
ASELS.IS,82.70112883186069,66.82519788546297,models/ASELS_IS_lstm.keras,data/ASELS_IS_pred_report.csv,13,2007,60,2018-01-01
BIMAS.IS,88.16595720954474,84.56066133829157,models/BIMAS_IS_lstm.keras,data/BIMAS_IS_pred_report.csv,7,2007,60,2018-01-01
